,actors_list,num_appearances,avg_critics_vote
5474,András Hatházi,1,6.0
5475,András Kern,1,5.0
5476,András Kozák,3,7.890000000000001
5477,András Kysfaludy,1,6.5
5478,András Rusznák,1,7.33
5479,András Szabó,1,6.86
5480,András Szigeti,1,7.75
5481,András Szöke,1,6.33
5482,André 3000,1,7.6
5483,André Alerme,2,7.1
5484,André Badalamenti,1,6.5
5485,André Badin,1,8.0
5486,André Balazs,1,4.550167470398891
5487,André Barbosa,1,6.88
5488,André Bazin,1,6.33
5489,André Bollet,1,3.67
5490,André Bonnaure,1,5.5
5491,André Brunot,2,7.3
5492,André Cabral,1,6.5
5493,André Canter,1,6.0
5494,André Carnège,1,8.0
5495,André Certes,1,6.0
5496,André Charpak,1,8.0
5497,André Chazel,1,4.0
5498,André Cower,1,6.0
5499,André De Béranger,1,8.0
5500,André De Shields,1,4.634060185518915
5501,André Deed,1,7.478986780149762
5502,André Derain,1,8.0
5503,André Dietrich,1,3.354027400896452
5504,André Dietz,1,6.53
5505,André Dupon,1,8.0
5506,André Dussollier,40,6.628608559374148
5507,André Eisermann,2,4.8
5508,André Engel,1,7.0
5509,André Falcon,9,6.541111111111111
5510,André Felipe,1,7.29
5511,André Frid,1,7.8
5512,André Fuentes,1,6.76
5513,André Gabriello,1,7.0
5514,André Garet,1,8.29
5515,André Gomes,2,7.012407223759547
5516,André Gordon,1,1.7047713751512146
5517,André Heller,1,8.33
5518,André Hennicke,15,6.626559479237978
5519,André Jacquemin,1,7.0
5520,André Jung,2,4.662168615546602
5521,André Lacombe,2,6.109999999999999
5522,André Lawrence,1,6.0
5523,André Lefaur,1,7.0
5524,André Leon Talley,1,7.0
5525,André Luguet,5,6.266
5526,André Marcon,16,6.145918245530761
5527,André Mattos,1,6.71
5528,André Morell,10,6.738081730109639
5529,André Méliès,1,7.2
5530,André Nicolle,1,6.014694500428535
5531,André Nox,1,8.0
5532,André Oumansky,2,6.5
5533,André Penvern,4,5.8774999999999995
5534,André Pousse,3,6.13
5535,André Ramiro,2,7.0
5536,André Roanne,2,7.875
5537,André Rouyer,1,7.2
5538,André Röhner,1,4.0
5539,André S. Labarthe,5,6.622
5540,André Schmidt,1,7.5
5541,André Sogliuzzo,1,8.0
5542,André Szymanski,4,4.931124889404846
5543,André Sørum,1,7.0
5544,André Tarroux,1,8.0
5545,André Tréton,1,7.0
5546,André Valardy,1,6.67
5547,André Valmy,1,6.5
5548,André Versini,1,8.0
5549,André Vippolis,1,6.0
5550,André Weber,1,8.0
5551,André Weideman,2,2.8
5552,André Wilms,13,6.47329265381163
5553,Andréa Bescond,1,7.25
5554,Andréa Brusque,1,7.4
5555,Andréa Elia,1,8.0
5556,Andréa Ferréol,35,5.858632940451629
5557,Andréa Marquee,1,8.0
5558,Andréa Parisy,2,7.665
5559,Andréas Leflamand,1,5.33
5560,Andréas Voutsinas,2,5.665
5561,Andrée Bernard,3,5.837840249628819
5562,Andrée Clément,1,7.0
5563,Andrée Damant,2,5.665
5564,Andrée Lachapelle,1,5.5
5565,Andrée Maranda,1,6.38
5566,Andrée Melly,1,7.4
5567,Andrée Pelletier,1,4.5
5568,Andrée Tainsy,1,7.38
5569,Andrés Almeida,2,5.87244951902542
5570,Andrés Castañeda,1,7.5
5571,Andrés Cox,1,6.4
5572,Andrés García,6,4.483333333333333
5573,Andrés Gavaldá,1,5.0
5574,Andrés Gertrúdix,5,6.459999999999999
5575,Andrés Herrera,3,4.3999999999999995
5576,Andrés Iniesta,2,6.25
5577,Andrés Marí,1,3.5
5578,Andrés Monales,2,6.25
5579,Andrés Montiel,1,7.55
5580,Andrés Márquez,1,6.0
5581,Andrés Pajares,1,6.5
5582,Andrés Parra,2,6.285
5583,Andrés Pazos,1,7.67
5584,Andrés Rebolledo,1,7.0
5585,Andrés Rodríguez,1,5.643710631992647
5586,Andrés Soler,3,6.8566666666666665
5587,Andrés Velencoso,3,6.390000000000001
5588,Andy Ahrens,1,4.5
5589,Andy Alphonse,1,7.023992821439642
5590,Andy Alston,1,4.0
5591,Andy Anderson,2,3.718607932545616
5592,Andy Armstrong,1,5.33
5593,Andy Bean,1,4.58
5594,Andy Beckwith,4,5.049935176187417
5595,Andy Bell,1,2.0
5596,Andy Blithe,1,6.0
5597,Andy Borowitz,1,4.0
5598,Andy Buckley,2,4.125
5599,Andy Callaghan,1,2.3444943295769285
5600,Andy Chi-On Hui,1,6.0
5601,Andy Clemence,3,3.5955847495409876
5602,Andy Clyde,1,6.0
5603,Andy Comeau,1,5.0
5604,Andy Davoli,1,4.178948851654589
5605,Andy Devine,8,6.368063077165293
5606,Andy Dick,7,4.634781166553595
5607,Andy Fairweather-Low,1,6.0
5608,Andy Favreau,1,4.449096439494908
5609,Andy Fenwick,1,6.469336333676032
5610,Andy Finkel,1,4.0
5611,Andy Fischer-Price,2,5.285
5612,Andy Fukutome,1,5.0
5613,Andy Gala,1,5.088702018766412
5614,Andy Garcia,53,5.569788916625867
5615,Andy Gatjen,2,6.55
5616,Andy Gibb,1,6.6543000797000404
5617,Andy Gibbins,1,7.0
5618,Andy Gillet,3,5.983333333333333
5619,Andy Gorostiaga,1,5.004222427875349
5620,Andy Greenberg,1,4.0
5621,Andy Greene,1,6.33
5622,Andy Griffith,6,5.481516073249151
5623,Andy Hirsch,2,4.0
5624,Andy Holmes,1,1.0
5625,Andy Huang,1,5.0
5626,Andy Hui Chi-On,1,7.67
5627,Andy J. Forest,1,4.5
5628,Andy J. Forrest,3,3.5366666666666666
5629,Andy Jones,2,4.335
5630,Andy Karl,1,3.9942198559389954
5631,Andy Kaufman,1,4.0
5632,Andy King,1,5.004691928492179
5633,Andy Lau,26,6.716255404005694
5634,Andy Le,1,5.74
5635,Andy Linden,1,3.2
5636,Andy Luotto,25,4.506314427590093
5637,Andy M Milligan,2,5.305
5638,Andy MacLennan,1,7.0
5639,Andy Mackenzie,1,3.438624366941723
5640,Andy Maton,1,4.0
5641,Andy McCutcheon,1,4.0
5642,Andy McPhee,3,5.896666666666667
5643,Andy McQueen,1,5.0
5644,Andy Miller,1,5.29
5645,Andy Milonakis,1,2.67
5646,Andy Nez,4,4.524312836901857
5647,Andy Nichol,1,7.2
5648,Andy Nyman,10,6.0520000000000005
5649,Andy On,9,7.098663928348207
5650,Andy Ostroy,1,3.0
5651,Andy Pandini,1,3.438976492404346
5652,Andy Parker,1,6.36
5653,Andy Parkin,1,6.6
5654,Andy Powers,1,5.75
5655,Andy Prosky,1,6.5
5656,Andy Richter,5,4.7627730317080035
5657,Andy Rivera,1,8.0
5658,Andy Rodoreda,2,4.0
5659,Andy Romano,3,5.833333333333333
5660,Andy Rowski,1,5.0
5661,Andy Samberg,13,5.399437471107461
5662,Andy Scott,1,4.0
5663,Andy Scott Harris,1,4.0
5664,Andy Serkis,20,6.1375
5665,Andy Stahl,1,5.86
5666,Andy Summers,1,7.0
5667,Andy Tennant,1,4.0
5668,Andy Thompson,3,5.280055823466297
5669,Andy Umberger,1,6.48
5670,Andy Walken,2,4.5
5671,Andy Warhol,3,7.833333333333333
5672,Andy Whitfield,1,5.0
5673,Andy Williams,1,6.0
5674,Andy Yu,2,3.4895120078563373
5675,Andy de la Tour,2,5.470000000000001
5676,Andzejs Lilientals,1,7.0
5677,Ane Dahl Torp,5,4.697740403753282
5678,Ane Gabarain,1,7.67
5679,Ane Hoel,1,7.5
5680,Ane Oliva,1,4.5
5681,Ane Rot,1,3.068462124585289
5682,Ane Skumsvoll,1,5.83
5683,Ane Viola Semb,1,4.0
5684,Aneesha Joshi,1,2.9844520343110568
5685,Aneeta Kanvar,1,7.8
5686,Anel Sudakevich,1,6.0
5687,Anele Beke,1,4.634060185518915
5688,Anelisa Phewa,1,6.0
5689,Anemone Valcke,1,6.5
5690,Anesha Bailey,3,4.97461022108432
5691,Anessa Ramsey,4,3.9544981559921144
5692,Aneta Corsaut,1,6.33
5693,Anett Dornbusch,1,6.0
5694,Anett Heilfort,1,5.004691928492179
5695,Anette Dujisin,2,6.75
5696,Anette Jünger,1,7.78
5697,Anette Kemp,1,2.0
5698,Anette Lindbäck,1,8.0
5699,Anette Nääs,1,4.0
5700,Anette Støvelbæk,1,7.4
5701,Anette Tirier,1,9.0
5702,Aneurin Barnard,10,5.870387030241273
5703,Aneza Papadopoulou,1,4.449096439494908
5704,Ang Lee,1,6.0
5705,Ange Andréani,1,8.0
5706,Ange Dargent,1,7.0
5707,Ange Rodot,1,6.75
5708,Ange Ruzé,1,7.0
5709,Angel Alvarado,1,3.623822863274147
5710,Angel Alvarez,4,4.9625
5711,Angel Amaral,1,6.0
5712,Angel Aquino,4,7.2425
5713,Angel Aranda,6,5.638333333333333
5714,Angel Bismark Curiel,1,6.0
5715,Angel Bonanni,1,3.5
5716,Angel Christian Roman,1,6.67
5717,Angel Connell,1,3.068462124585289
5718,Angel Gallego,1,3.994337231093203
5719,Angel Genov,1,6.0
5720,Angel Grey Cooper,1,7.0
5721,Angel Parker,1,4.0
5722,Angel Rosario Jr.,2,4.43
5723,Angel Sande,1,5.6
5724,Angel Ter,1,4.0
5725,Angel Tompkins,1,6.25
5726,Angel Vargas,1,4.0
5727,Angel de Andrés López,3,6.126666666666666
5728,Angela Allen,1,7.0
5729,Angela Alvarado,3,4.674477004827335
5730,Angela Angelucci,1,3.0
5731,Angela Antonini,2,3.75
5732,Angela Baraldi,5,6.1259999999999994
5733,Angela Basset,1,2.0
5734,Angela Bassett,26,5.4692307692307685
5735,Angela Berliner,1,8.0
5736,Angela Besharah,2,4.375
5737,Angela Bettis,7,5.967142857142856
5738,Angela Bo,4,3.1574999999999998
5739,Angela Brunda,1,4.5
5740,Angela Buccella,1,4.0
5741,Angela Burnett,1,7.0
5742,Angela Cardile,2,7.06
5743,Angela Caterina,1,4.550167470398891
5744,Angela Cavagna,1,2.0
5745,Angela Cavo,2,4.25
5746,Angela Cerveira,1,8.5
5747,Angela Ciaburri,1,6.014811875582742
5748,Angela Civile,1,6.75
5749,Angela Clarke,4,5.7275
5750,Angela Clerkin,1,7.0
5751,Angela Cocozza,1,1.0
5752,Angela Correa,1,6.0
5753,Angela Covello,4,4.2825
5754,Angela Curri,5,4.636775106091037
5755,Angela Dawe,1,6.5
5756,Angela De Leo,1,4.5
5757,Angela Deiss,1,6.5
5758,Angela Denton,1,7.023992821439642
5759,Angela Dierdorff Petro,1,6.33
5760,Angela Dixon,1,4.73466171580607
5761,Angela Down,1,8.0
5762,Angela Durantini,1,7.0
5763,Angela Evans,1,6.09
5764,Angela Featherstone,10,5.063409990884844
5765,Angela Ferro Farruggio,1,4.550050095244683
5766,Angela Finocchiaro,46,4.796315811123273
5767,Angela Fontana,6,4.703333333333333
5768,Angela Galuppo,2,5.0
5769,Angela Goethals,5,5.772
5770,Angela Goodwin,13,5.661538461538461
5771,Angela Greene,2,5.165
5772,Angela Griffin,2,6.335
5773,Angela Groothuizen,1,6.0
5774,Angela Jones,2,6.141951543517596
5775,Angela Keep,1,6.0
5776,Angela Kerecz,2,4.36756560821145
5777,Angela Kinsey,4,3.827225996113091
5778,Angela Lansbury,32,6.131503761594932
5779,Angela Lavagna,1,5.75
5780,Angela Leib,1,3.994337231093203
5781,Angela Luce,19,5.278398707934481
5782,Angela Maiorano,1,4.449096439494908
5783,Angela Maria Blasi,1,6.0
5784,Angela Martinez,1,6.469336333676032
5785,Angela McDonald,1,3.0
5786,Angela McEwan,1,7.67
5787,Angela Melillo,1,3.0
5788,Angela Menzies-Wills,1,3.16918103002665
5789,Angela Minervini,3,4.646666666666667
5790,Angela Molina,40,5.506073351036373
5791,Angela Moore,2,3.304254823946809
5792,Angela Mounsey,1,6.71
5793,Angela Narth,3,5.277554018527863
5794,Angela Neiman,1,7.0
5795,Angela Nicholas,2,4.634060185518916
5796,Angela Nugara,3,7.5
5797,Angela O'Neill,1,4.0
5798,Angela Pagano,5,5.378
5799,Angela Pan,1,6.0
5800,Angela Perkins,1,5.004691928492179
5801,Angela Pietropinto,2,3.5
5802,Angela Pleasence,1,10.0
5803,Angela Portaluri,4,4.075
5804,Angela Punch McGregor,2,6.0
5805,Angela Quartucci,1,4.0
5806,Angela Rhu,1,4.0
5807,Angela Ricciardi,1,8.0
5808,Angela Robinson Witherspoon,1,5.0
5809,Angela Robitaille,1,3.994337231093203
5810,Angela Rodel,1,2.9836304082316034
5811,Angela Roy,9,3.158316082628187
5812,Angela Sacchi,1,5.5
5813,Angela Sandritter,1,4.0
5814,Angela Sarafyan,6,5.451666666666667
5815,Angela Schijf,1,5.0
5816,Angela Soldier,1,3.0
5817,Angela Stevens,1,6.0
5818,Angela Taylor-Jones,1,6.25
5819,Angela Trimbur,5,6.473999999999999
5820,Angela Troina,1,3.0
5821,Angela Tuccia,1,2.5
5822,Angela Walsh,1,7.8
5823,Angela Winkler,9,6.785555555555556
5824,Angela Yeoh,1,7.0
5825,Angela Yuen,1,6.0
5826,Angelababy,5,4.912550374831558
5827,Angelena Swords,2,4.0
5828,Angeli Bayani,5,7.76
5829,Angelic Zambrana,2,6.162150039850021
5830,Angelica Alleruzzo,1,6.27
5831,Angelica Amor,1,7.0
5832,Angelica Barea,1,6.0
5833,Angelica Bellucci,1,5.0
5834,Angelica Borghese,2,6.585
5835,Angelica Bridges,1,5.745016413205048
5836,Angelica Cassidy,1,5.189303549053565
5837,Angelica Cinquantini,1,4.0
5838,Angelica Elli,3,5.1033333333333335
5839,Angelica Giusto,1,4.364264723141221
5840,Angelica Granato Renzi,1,5.5
5841,Angelica Ippolito,7,5.692857142857143
5842,Angelica Lee,4,5.069777773502755
5843,Angelica Leo,2,5.52
5844,Angelica Luiggi,1,2.2434232986729445
5845,Angelica Massera,1,2.0
5846,Angelica Novak,1,6.0
5847,Angelica Ott,3,4.0
5848,Angelica Penn,1,4.0
5849,Angelica Sarre,2,5.375
5850,Angelico Ferrarese,1,7.13
5851,Angelie Simone,1,1.0
5852,Angelika Brennfleck,1,8.0
5853,Angelika Hoch,1,7.394389814104492
5854,Angelika Niedetzky,1,8.0
5855,Angelika Ott,1,4.0
5856,Angelika Strahser,1,7.25
5857,Angelika Thomas,1,6.8
5858,Angelika Zielcke,1,6.5
5859,Angeliki Margeti,1,7.25
5860,Angeliki Papathemeli,1,4.449096439494908
5861,Angeliki Papoulia,2,6.739728140383296
5862,Angelina Armani,1,5.83
5863,Angelina Aucello,2,5.98
5864,Angelina Chavez,1,6.25
5865,Angelina Fiordellisi,1,8.0
5866,Angelina Jolie,31,5.024193548387097
5867,Angelina Joo,1,6.570289989425806
5868,Angelina Kanapi,1,8.33
5869,Angelina Longobardi,1,6.44
5870,Angelina Noa,1,6.75
5871,Angelina Peláez,1,7.024814447519096
5872,Angelina Pikovskaya,1,9.0
5873,Angelina Stecher-Williams,1,1.9742147120662872
5874,Angelina Woreth,2,6.512407223759547
5875,Angeline Appel,3,4.528406413387585
5876,Angeline Ball,2,5.765000000000001
5877,Angeline-Rose Troy,1,5.3739151696149525
5878,Angeliqa Devi,1,2.75
5879,Angelique Berry,1,4.634177560673122
5880,Angelique Cabral,3,4.66481820208247
5881,Angelique Cinelu,1,2.798666662207594
5882,Angelique Cooper,1,3.438976492404346
5883,Angelique Lettich,1,2.0
5884,Angelique Mechel,1,4.0
5885,Angelique Pettyjohn,1,4.0
5886,Angelique de Bruijne,1,4.0
5887,Angell Conwell,2,4.5741011527317355
5888,Angella Joy,1,6.384269867013929
5889,Angelle Brooks,1,4.3647342237580515
5890,Angelo Acernese,1,4.550167470398891
5891,Angelo Argentina,1,5.2
5892,Angelo Arpa,1,6.5
5893,Angelo Arquilla,2,2.5
5894,Angelo Barbagallo,1,7.19
5895,Angelo Barra Moreira,1,5.67
5896,Angelo Bassi,1,2.0
5897,Angelo Bernabucci,2,5.735
5898,Angelo Bigioni,1,7.0
5899,Angelo Bizzari,1,6.0
5900,Angelo Branduardi,1,6.71
5901,Angelo Calabrese,1,4.0
5902,Angelo Campolo,2,4.75
5903,Angelo Cannavacciuolo,2,6.04
5904,Angelo Carrabs,1,6.0
5905,Angelo Caruso,1,4.364616848603844
5906,Angelo Costabile,1,6.56
5907,Angelo D'Alessandro,1,8.27
5908,Angelo D'Angelo,1,6.0
5909,Angelo Dessy,2,4.625
5910,Angelo Di Gennaro,3,3.657513206908808
5911,Angelo Duro,1,4.2
5912,Angelo Francesco Lavagnino,1,4.0
5913,Angelo Gandolfi,1,6.0
5914,Angelo Giotta,1,4.0
5915,Angelo Infanti,29,4.5841379310344825
5916,Angelo Maggi,3,3.5866666666666664
5917,Angelo Maresca,3,2.8333333333333335
5918,Angelo Maria Sferrazza,2,4.855
5919,Angelo Michele Trorriello,1,6.0
5920,Angelo Montano,1,5.0
5921,Angelo Murano,1,3.0
5922,Angelo Musco,4,5.25
5923,Angelo Nicotra,2,5.775
5924,Angelo Orlando,17,5.003812463269573
5925,Angelo Paccagnini,1,6.5
5926,Angelo Pardo,1,6.0
5927,Angelo Pellegrino,3,5.666666666666667
5928,Angelo Pintus,3,2.0066666666666664
5929,Angelo Pisani,1,7.67
5930,Angelo Ragusa,1,4.5
5931,Angelo Rossitto,3,5.168191517779324
5932,Angelo Russo,37,5.955135135135135
5933,Angelo Santaniello,1,3.0
5934,Angelo Secchi,1,5.0
5935,Angelo Spadaro,1,6.0
5936,Angelo Susani,1,4.0
5937,Angelo Taddeoli,1,5.0
5938,Angelo Tiffe,1,7.2
5939,Angelo Tosto,3,5.782862405182853
5940,Angelo Tsarouchas,1,7.5
5941,Angelo Villari,1,1.0
5942,Angelo Zanolli,2,4.665
5943,Angelo de Bianchi,1,4.0
5944,Angelyna Martinez,1,4.550167470398891
5945,Angharad Rees,1,6.25
5946,Angie Bowie,2,7.075408650548191
5947,Angie Campbell,1,6.5
5948,Angie Cepeda,4,5.45
5949,Angie Chiu,2,4.835
5950,Angie DeGrazia,1,6.014694500428535
5951,Angie Dickinson,31,6.066118342527991
5952,Angie Everhart,7,4.6713298252994315
5953,Angie Ferro,1,7.0
5954,Angie Harmon,6,4.757258936279778
5955,Angie Hill,1,6.0
5956,Angie Milliken,2,5.7
5957,Angie Morvan-Dedieu,1,3.7250112693323385
5958,Angie Pack,1,3.0
5959,Angie Papanikolas,1,3.6233533626573164
5960,Angie Patterson,3,3.1973017686056022
5961,Angie Simms,1,4.448744314032285
5962,Angie Teodora Dick,3,2.688142321832552
5963,Angie Tricker,1,6.0
5964,Angourie Rice,4,6.3525
5965,Angry Anderson,1,6.0
5966,Angus Barnett,4,5.75
5967,Angus Brown,1,4.078582071675851
5968,Angus Cloud,1,3.6239402384283546
5969,Angus Deayton,1,5.5602874174894525
5970,Angus Imrie,1,5.188599298128319
5971,Angus MacFadyen,9,5.255360511192149
5972,Angus MacInnes,2,6.48
5973,Angus MacLachlan,1,7.0
5974,Angus McEwan,1,5.75
5975,Angus McFayden,1,6.33
5976,Angus McLaren,1,6.2
5977,Angus Okanume,1,7.0
5978,Angus Sampson,5,4.6579999999999995
5979,Angus Scrimm,7,4.922857142857143
5980,Angus T. Jones,1,2.5
5981,Angus Wright,3,5.5
5982,Angâruzu,1,6.0
5983,Angèle,1,3.0
5984,Angèle Guys,1,8.2
5985,Angèle Humeau,1,6.6
5986,Angèle Osinsky,1,3.5
5987,Angélica Aragón,3,4.78
5988,Angélica Chain,1,7.0
5989,Angélica María,1,4.0
5990,Angélique Cavallari,2,5.5
5991,Angélique Kidjo,2,6.75
5992,Anh Duong,1,8.0
5993,Anh Tuan Hac Martial Art,1,3.540047523308329
5994,Ani Karseladze,1,6.38
5995,Ania Bukstein,2,7.0
5996,Ania Marson,3,4.604218970570295
5997,Ania Nova,1,5.25
5998,Ania Pieroni,7,5.4685614497363035
5999,Ania Sowinski,2,4.25
6000,Anian Zollner,1,4.0
6001,Anica Dobra,5,5.184829486431353
6002,Anicée Alvina,2,6.335
6003,Anie Pascale,1,6.33
6004,Aniela McGuinness,2,1.7888401530025515
6005,Aniello Arena,6,6.140000000000001
6006,Aniello Mele,1,9.04
6007,Aniello Scotto D'Antuono,1,8.0
6008,Anika Mauer,1,3.0
6009,Anika Noni Rose,9,5.31402999632646
6010,Anikka Albrite,1,1.6038177194014387
6011,Aniko Kaszas,1,4.449096439494908
6012,Anikó Kiss,1,8.0
6013,Anikó Szigeti,1,7.71
6014,Anil Baral,1,6.75
6015,Anil Chatterjee,3,8.19
6016,Anil George,1,4.5
6017,Anil Kapoor,7,5.478112065901295
6018,Anil Yildiz,1,4.078582071675851
6019,Anina Mutter,1,7.0
6020,Anis Alobaidi,1,4.178127225575135
6021,Anis Cherufa,1,5.0
6022,Anis Gharbi,3,4.073333333333333
6023,Anis Salhi,1,4.0
6024,Anisa George,1,6.96
6025,Anish J. Karrinad,1,2.0
6026,Anish Jethmalani,1,4.0
6027,Anisha Cheema,1,3.6239402384283546
6028,Anissa Feriani,1,5.0
6029,Anissa Jones,1,5.004691928492179
6030,Anita Auer,1,1.0
6031,Anita Barone,1,6.63
6032,Anita Bartolucci,1,4.0
6033,Anita Berber,1,8.67
6034,Anita Berglund,1,5.5
6035,Anita Bjoerk,4,6.7
6036,Anita Björk,1,8.0
6037,Anita Blanch,1,4.0
6038,Anita Briem,4,3.4
6039,Anita Brown,2,5.417035278717041
6040,Anita Bucher,1,8.0
6041,Anita Cacciolati,1,5.67
6042,Anita Cappucci Scudery,1,5.5
6043,Anita Caprioli,30,5.471212999939949
6044,Anita Carvalho,1,8.5
6045,Anita Dangler,1,7.0
6046,Anita Date,1,6.4
6047,Anita Durante,6,5.757409529697294
6048,Anita Ekberg,30,4.830333333333333
6049,Anita Farra,1,3.8
6050,Anita Gillette,2,5.835
6051,Anita Hara,1,5.644297507763685
6052,Anita Hegh,1,5.0
6053,Anita Hoefer,1,5.0
6054,Anita Höfer,1,8.0
6055,Anita Kelli,1,3.0
6056,Anita Kravos,19,5.517273945345767
6057,Anita Kupsch,1,3.78
6058,Anita Laurenzi,3,6.223333333333334
6059,Anita Lindblom,1,6.43
6060,Anita Louise,7,6.371428571428572
6061,Anita Major,1,5.25
6062,Anita Majumdar,1,5.0
6063,Anita Mancic,2,6.335
6064,Anita Masini,1,8.0
6065,Anita Medeiros,1,4.5
6066,Anita Morris,2,5.2
6067,Anita Mui,5,6.606
6068,Anita Page,1,6.0
6069,Anita Pallenberg,7,6.125714285714286
6070,Anita Pititto,1,6.25
6071,Anita Poddebniak,1,5.644297507763685
6072,Anita Pomario,1,6.19
6073,Anita Reeves,1,7.38
6074,Anita Rice,1,4.1787141013461735
6075,Anita Sanders,6,5.078333333333333
6076,Anita Sharp-Bolster,1,8.5
6077,Anita Sokolowska,1,6.0
6078,Anita Strindberg,10,4.917
6079,Anita Todesco,2,4.125
6080,Anita Valentini,1,5.0
6081,Anita Yuen,2,5.049410982928487
6082,Anita Zagaria,7,5.507134727429377
6083,Anita von Ow,1,8.67
6084,Anita-Joy Uwajeh,1,7.0
6085,Anitra Ford,2,5.75
6086,Aniya Wendel,1,6.0
6087,Anja Akstin,1,5.374736795694406
6088,Anja Boche,1,5.004457178183764
6089,Anja Elkoff,1,6.5
6090,Anja Gada,1,6.0
6091,Anja Gebel,1,6.0
6092,Anja Hemmingsen,1,6.6
6093,Anja Karmanski,1,2.4288565453137845
6094,Anja Klawun,1,2.5299275762177675
6095,Anja Kling,8,4.494449619788783
6096,Anja Knauer,4,3.8360275912333375
6097,Anja Kruse,3,5.333333333333333
6098,Anja Lundkvist,1,6.43
6099,Anja Margoni,1,8.0
6100,Anja Mit,1,3.0682273742768738
6101,Anja Nejarri,3,4.207539090850371
6102,Anja Petoushinova,1,4.67
6103,Anja Röttgerkamp,1,7.67
6104,Anja Savcic,2,2.5
6105,Anja Schmidt,1,8.0
6106,Anja Schüte,1,6.0
6107,Anjalee Deshpande,1,5.33
6108,Anjali Bhimani,2,5.189538299361981
6109,Anjali Jay,4,4.7675
6110,Anjali Khurana,1,2.9844520343110568
6111,Anjali Patil,1,5.5
6112,Anjana Vasan,1,6.91
6113,Anjanette Comer,5,5.9
6114,Anjela Nedyalkova,1,5.71
6115,Anjelah N. Johnson,2,3.0
6116,Anjelica Bosboom,1,6.33
6117,Anjelica Huston,38,6.367231891462704
6118,Anjelika Washington,4,4.25
6119,Anjini Taneja Azhar,1,7.0
6120,Anjli Mohindra,1,6.0
6121,Anjolie Nieman,1,2.7984319118991787
6122,Anjorka Strechel,1,6.0
6123,Anjula Bedi,1,6.17
6124,Anjuska Sudakevic,1,8.0
6125,Anka Dobric,1,3.9944546062474107
6126,Anka Graczyk,1,7.0
6127,Anke Bak,1,4.67
6128,Anke Engelke,1,3.33
6129,Anke Sevenich,10,8.456
6130,Anke Sun,1,7.0
6131,Ankhnyam Ragchaa,1,6.4
6132,Anki Larsson,2,6.5
6133,Anki Liden,3,7.109999999999999
6134,Ankie Beilke,4,4.2386928437878035
6135,Ankit Rao,1,6.755371110604024
6136,Ankito,1,6.0
6137,Ankur Bhatt,1,6.0
6138,Ankush Dubey,1,5.088467268457997
6139,Anlian Yao,1,8.0
6140,Ann Akin,1,4.0
6141,Ann Ayars,1,8.89
6142,Ann Beach,1,5.0
6143,Ann Bell,1,4.0
6144,Ann Bennent,1,5.5
6145,Ann Blyth,12,6.573333333333333
6146,Ann Bridgewater,1,10.0
6147,Ann C. Fink,1,6.5
6148,Ann Carter,2,7.0
6149,Ann Casson,1,5.67
6150,Ann Codee,1,6.0
6151,Ann Cusack,1,4.2
6152,Ann Dane,1,5.75
6153,Ann Del Guercio,1,8.0
6154,Ann Doran,6,6.223222722279338
6155,Ann Douglas,1,4.5
6156,Ann Dowd,16,5.908032844950843
6157,Ann Dusenberry,2,7.165
6158,Ann Dvorak,10,6.88
6159,Ann Eleonora Jørgensen,1,7.4
6160,Ann Elisabeth Rud,1,9.69
6161,Ann Elsley,1,7.61
6162,Ann Firbank,1,8.0
6163,Ann Gillis,2,8.415
6164,Ann Harding,3,7.033333333333334
6165,Ann Hearn,1,7.36
6166,Ann Hovey,1,7.0
6167,Ann Hu,1,4.634060185518915
6168,Ann Hui,1,8.489576227857153
6169,Ann Janette La Vorgna,1,2.67
6170,Ann Jillian,10,5.6
6171,Ann Karen,1,0.9642121401299331
6172,Ann Lagerström,1,5.0
6173,Ann Latham,1,7.55
6174,Ann Lynn,1,5.0
6175,Ann Magnuson,6,5.325742005718509
6176,Ann Magnusson,1,5.0
6177,Ann Mahoney,3,4.833333333333333
6178,Ann Margaret Hughes,2,2.487166043610247
6179,Ann Marie,1,6.0
6180,Ann Marin,1,6.0
6181,Ann Mckenzie,2,4.636069943892861
6182,Ann Michelle,3,4.666666666666667
6183,Ann Miller,5,8.048
6184,Ann Mitchell,1,4.75
6185,Ann Morgan Guilbert,1,5.2
6186,Ann Morrish,1,6.384504617322344
6187,Ann Perry,1,3.33
6188,Ann Peters,1,6.0
6189,Ann Petersen,2,7.665
6190,Ann Petren,2,6.25
6191,Ann Pirvu,1,5.004691928492179
6192,Ann Pornel,1,1.0
6193,Ann Prentiss,2,6.445
6194,Ann Rebbot,1,8.41
6195,Ann Reinking,3,6.733333333333333
6196,Ann Revere,1,7.95
6197,Ann Richard,1,6.5
6198,Ann Richards,1,6.0
6199,Ann Robinson,2,6.04
6200,Ann Rutheford,1,6.33
6201,Ann Rutherford,3,5.166666666666667
6202,Ann Ruymen,1,8.0
6203,Ann Savage,3,6.62
6204,Ann Sheridan,15,7.040666666666667
6205,Ann Shermann,1,6.0
6206,Ann Shirley,1,6.0
6207,Ann Shoemaker,3,6.993333333333333
6208,Ann Sidneey,1,4.0
6209,Ann Skelly,1,7.0
6210,Ann Smyrner,3,4.763333333333333
6211,Ann Sothern,5,7.57
6212,Ann Stallybrass,1,7.5805273116705765
6213,Ann Sten,1,5.0
