,actors_list,num_appearances,avg_critics_vote
167,Aasif Mandvi,11,5.768053383231687
168,Abba Waka Dessalegn,1,4.634060185518915
169,Abbas Abdulghani,1,6.6
170,Abbas Alijome,1,6.0
171,Abbas Nazeri,1,8.38
172,Abbas Rahimi,1,6.5
173,Abbe Holmes,1,1.0
174,Abbe Lane,12,4.946195412241855
175,Abbes Zahmani,2,4.25
176,Abbey Finch,1,4.550050095244683
177,Abbey Hafer,1,5.088702018766412
178,Abbey Hoes,2,5.125
179,Abbey Lee,7,4.973436801940366
180,Abbey Lincoln,1,7.108941912947537
181,Abbey Thickson,1,5.14
182,Abbi Jacobson,1,3.9944546062474107
183,Abbi Snee,1,4.5
184,Abbie Cobb,5,4.333937185797986
185,Abbie Cornish,15,5.655333333333333
186,Abbie Gayle,2,3.502228589091882
187,Abbie Hirst,1,2.158943707781881
188,Abbie Hoffman,1,6.0
189,Abbie Murphy,1,5.188599298128319
190,Abbie Salt,1,5.5
191,Abby Allen,1,5.5579399144053
192,Abby Alonzo,1,6.0
193,Abby Brammell,2,5.316795342451043
194,Abby Chapman,1,1.9742147120662872
195,Abby Cooper,1,2.9844520343110568
196,Abby Dalton,1,6.0
197,Abby Glover,2,4.937427085424307
198,Abby James Witherspoon,1,4.263076317083029
199,Abby Leigh,1,2.5299275762177675
200,Abby Quinn,6,5.733923874293918
201,Abby Ross,2,2.757131117687308
202,Abby Ryder Fortson,4,5.628585593741478
203,Abby Vessell,1,4.5
204,Abd-Elkarim Abu-Barakeh,1,6.5
205,Abd-el-Kader Ben Ali,1,7.5
206,Abdallah Alnur,1,5.5
207,Abdallah El Akal,1,6.0
208,Abdallah Sallam,1,6.67
209,Abdel Ahmed Ghili,1,7.72
210,Abdel Aziz Khalil,1,8.0
211,Abdel Ghani Nagdi,1,8.0
212,Abdel Hamid Bodaoha,1,8.0
213,Abdel Mekraza,1,7.0
214,Abdelati Lambarki,1,6.0
215,Abdelatif Benhamed,1,8.0
216,Abdelatif Hwidar,1,6.838911700261426
217,Abdelghafour Elaaziz,1,7.94
218,Abdelghani Benizza,1,3.0
219,Abdelghani Kamar,1,8.0
220,Abdelghani Kitab,1,6.0
221,Abdelhafid Metalsi,2,7.0600000000000005
222,Abdelhamid Nawara,1,7.43
223,Abdelkader Dahou,1,3.624057613582562
224,Abdelkader Lofti,1,4.0
225,Abdelkader Mohamed,1,8.0
226,Abdelkarim Benhabouccha,1,7.56
227,Abdellah Chakiri,1,6.0
228,Abdellah Didane,1,6.71
229,Abdellah Oukseh,1,3.438976492404346
230,Abdellatif Khamouli,1,4.0
231,Abdelmalik Dhaflaoui,1,6.8
232,Abdelsalam Sadoo,1,4.5
233,Abderraouf Fgaier,1,8.0
234,Abderrazak El Badaoui,1,6.0
235,Abdessamed Miftah El Kheir,1,6.0
236,Abdesselam Bouhasni,2,4.219488246202173
237,Abdiaziz Hilowle,1,7.0
238,Abdolali Hoseinali,1,6.0
239,Abdolgani Yousefrazi,1,7.0
240,Abdolrahman Bagheri,1,7.8
241,Abdolrahman Palay,1,7.5
242,Abdoul Karim Konaté,1,7.25
243,Abdoulaye Diallo,1,6.0
244,Abdoulaye NGom,1,6.5
245,Abdrashid Abdrakhmanov,1,8.0
246,Abdul Alshareef,1,5.71
247,Abdul Ayoola,1,3.7250112693323385
248,Abdul Salaam El Razzac,1,4.0
249,Abdullah Jan,1,5.5
250,Abdullah Khitab,1,6.469336333676032
251,Abdullah Taher,1,6.0
252,Abdullrahman Algohani,1,7.5
253,Abdulmajeed Al-Ruhaidi,1,6.469336333676032
254,Abdulmohsen Alnemr,1,6.0
255,Abdulrahman Khallouf,1,3.624057613582562
256,Abdulrahman Mohamad,1,6.5
257,Abdulwareth Asar,1,8.0
258,Abdurrahman Arif,2,6.5
259,Abe Clifford-Barr,1,6.33
260,Abe Foxman,1,6.0
261,Abe Gibron,1,8.0
262,Abe Vigoda,4,6.365
263,Abebe Bikila,1,7.5805273116705765
264,Abed Abes,1,9.0
265,Abeer Abrar,1,8.0
266,Abeer Khalid,1,5.5
267,Abel Alves,1,7.0
268,Abel Ayala,1,4.819023931542925
269,Abel Becerra,1,5.560170042335245
270,Abel Djilali,1,5.25
271,Abel Ferrara,6,5.143262575125857
272,Abel Folk,3,5.1433333333333335
273,Abel Gance,2,7.585
274,Abel Jafri,3,6.263333333333333
275,Abel Salazar,2,5.0
276,Abel Tripaldi,1,5.14
277,Abel Woolrich,1,6.0
278,Abena Ayivor,2,4.05
279,Abhay Deol,1,6.0
280,Abhi Bhattacharya,1,8.17
281,Abhijati 'Meuk' Jusakul,1,6.67
282,Abhimanyu Singh,1,6.468984208213409
283,Abhin Galeya,1,6.33
284,Abhishek Bachchan,5,5.6
285,Abhishek Banerjee,1,6.570407364580014
286,Abhishek Bharate,1,5.95
287,Abhishek Kale,1,6.25
288,Abhishek Khandekar,1,7.0
289,Abi Goldstein,1,5.374736795694406
290,Abi Monterey,1,4.633473309747877
291,Abi Van Andel,1,6.5
292,Abigael Loma,1,6.5
293,Abigail Bianca,1,4.5
294,Abigail Breslin,25,5.410185903406458
295,Abigail Canton,1,4.5
296,Abigail Chu,1,5.95
297,Abigail Cowen,2,5.279204707511065
298,Abigail Davis-Fletcher,1,6.0
299,Abigail Esmena Froehle,1,4.633355934593669
300,Abigail Friend,1,6.0
301,Abigail Hardingham,1,6.0
302,Abigail Hargrove,1,6.0
303,Abigail Klein,1,4.634177560673122
304,Abigail Kubeka,1,1.0
305,Abigail Lawrie,2,6.919631912862025
306,Abigail Mavity,2,5.9398489848910305
307,Abigail Morgan,1,3.0
308,Abigail Schornick,1,3.0
309,Abigail Schrader,1,3.8
310,Abigail Scott,1,2.0
311,Abigail Spencer,7,5.335714285714286
312,Abigail Stone,1,6.0
313,Abigail Vollnhofer,1,5.088702018766412
314,Abigail Winter,1,4.0
315,Abimana Aryasatya,1,5.75
316,Abishek J. Bajaj,1,4.734544340651863
317,Abiye Tedla,1,6.25
318,Able Wanamakok,1,4.4
319,Abner Biberman,1,7.0
320,Abo Sefen Nabil Wesa,1,5.0
321,Abolfazl Shirzad,1,7.43
322,Aboubakr Bensaihi,1,6.098821965856975
323,Abra,1,4.83
324,Abraham Alvarez,1,4.0
325,Abraham Attah,1,6.33
326,Abraham Belaga,1,3.25
327,Abraham Benrubi,5,5.715999999999999
328,Abraham Goren,1,6.36
329,Abraham Juárez,1,5.33
330,Abraham Leber,1,7.25
331,Abraham Popoola,1,6.0
332,Abraham Sofaer,5,6.1
333,Abraham Taylor,1,3.0
334,Abraham Ulayuruluk,1,5.0
335,Abrahão Farc,1,7.0
336,Abram Room,1,6.0
337,Abrar Zahoor,1,4.0
338,Abrhaim,1,7.0
339,Abril Zamora,1,5.25
340,Absalom Adams,1,8.0
341,Abu Aldanish,1,5.5
342,Abu Bakaar Fofanah,1,6.95
343,Abu George Shibli,1,7.67
344,Abul Hayat,1,7.67
345,Abul Khair,1,7.67
346,Abylai Maratov,1,6.0
347,Abzal Ermagambetov,1,6.5
348,Aca Gravic,1,6.33
349,Accursio Di Leo,1,6.0
350,Ace,1,4.449096439494908
351,Ace Bhatti,1,1.0
352,Ace Cruz,1,4.0
353,Ace Frehley,1,6.570407364580014
354,Ace Mask,1,5.0
355,Ace Young,1,5.643828007146855
356,Acei Martin,1,3.67
357,Achileas Skevis,1,5.9
358,Achille Bonito Oliva,4,4.7925
359,Achille Brugnini,1,1.0
360,Achille Compagnoni,1,7.0
361,Achille Lauro,1,3.5
362,Achille Majeroni,7,6.451428571428571
363,Achille Marciano,2,6.8
364,Achille Millo,1,6.5
365,Achille Ridolfi,3,7.356802454860005
366,Achille Stuani,1,6.0
367,Achille Togliani,2,3.5
368,Achim Wolff,1,0.9642121401299331
369,Achita Sikamana,2,5.57
370,Achmed Akkabi,2,4.7296081932927345
371,Achouackh Abakar Souleymane,1,6.67
372,Aciel Martinez Pol,3,2.3333333333333335
373,Ack Ming,1,4.0
374,Ada Ameh,1,6.014694500428535
375,Ada Carrasco,1,7.36
376,Ada Choi,1,10.0
377,Ada Colangeli,1,8.0
378,Ada Condeescu,1,8.0
379,Ada Cristina Almirante,1,4.0
380,Ada Dondini,9,5.567777777777778
381,Ada Gales,1,6.0
382,Ada Guareschi,1,8.0
383,Ada Kukkonen,1,7.024931822673303
384,Ada Mangini,1,7.5
385,Ada Maris,1,4.735131216422901
386,Ada Michelle Loridans,1,2.25
387,Ada Peragostini,1,6.73
388,Ada Pometti,4,4.365
389,Ada Savelli,1,7.42
390,Ada-Nicole Sanger,1,3.57
391,Adair Tishler,1,4.0
392,Adalberto Maria Merli,15,5.391333333333334
393,Adalberto Roni,1,4.5
394,Adalgisa Manfrida,1,4.78
395,Adalgiza Chermont,1,5.004105052721141
396,Adam Aalderks,2,5.68
397,Adam Amara,1,5.67
398,Adam Ambruso,3,3.9096271905816877
399,Adam Ant,2,6.365
400,Adam Arkin,5,5.7
401,Adam Astill,1,4.0
402,Adam Atherton,1,4.634060185518915
403,Adam Bakri,3,6.083333333333333
404,Adam Baldwin,19,6.01615167955382
405,Adam Ballantyne,1,5.458864261122846
406,Adam Barrie,1,6.5
407,Adam Bartley,2,4.9818540300281455
408,Adam Battrick,1,5.004691928492179
409,Adam Beach,20,5.270143333868782
410,Adam Bessa,3,5.533333333333334
411,Adam Biedrzycki,1,8.0
412,Adam Biesk,1,4.0
413,Adam Black,1,3.540047523308329
414,Adam Blake,1,4.734426965497655
415,Adam Bobik,2,5.728727879636177
416,Adam Boncz,1,5.25
417,Adam Bond,1,2.0
418,Adam Bousdoukos,6,4.954682135742971
419,Adam Boys,3,3.5058485540054343
420,Adam Breman,1,7.0
421,Adam Bridge,1,5.5
422,Adam Brody,20,4.9945
423,Adam Brooks,2,4.75
424,Adam Brown,2,6.0600000000000005
425,Adam Brudnicki,1,1.6035829690930234
426,Adam Burch,1,2.7128959446202465
427,Adam Busch,2,4.482106070064966
428,Adam Butcher,4,6.390071854372363
429,Adam Campbell,4,3.375
430,Adam Capriolo,1,1.9740973369120796
431,Adam Chambers,2,3.7801437087447263
432,Adam Cheng,2,7.158773177474282
433,Adam Chernick,1,5.088702018766412
434,Adam Christie,3,4.443333333333333
435,Adam Clayton,3,7.583333333333333
436,Adam Cockburn,1,6.0
437,Adam Coleman Howard,2,4.0
438,Adam Copeland,2,2.3069688332459997
439,Adam Croasdell,5,5.111987058405366
440,Adam Cronheim,1,5.5
441,Adam Cudny,1,5.0
442,Adam Cywka,1,7.33
443,Adam Davenport,1,4.0
444,Adam David Thompson,4,6.108350200448974
445,Adam De Ville,1,6.0
446,Adam DeVine,12,4.491357919645963
447,Adam Deacon,1,6.5
448,Adam Demos,1,5.560170042335245
449,Adam DiMarco,7,4.939273956004096
450,Adam Douieb,1,5.459216386585469
451,Adam Drinkall,1,5.644297507763685
452,Adam Driver,20,6.42115031905337
453,Adam Dunnells,1,3.0
454,Adam Ekeli,1,6.67
455,Adam Englander,1,6.013990249503289
456,Adam Eskilden,1,5.0
457,Adam Ewan,1,8.0
458,Adam Faison,1,5.004691928492179
459,Adam Ferency,2,7.74
460,Adam Fergus,1,5.374736795694406
461,Adam Ferrara,3,4.583333333333333
462,Adam Fielding,1,4.33
463,Adam Fogerty,1,2.0
464,Adam Fristoe,1,3.0
465,Adam G. Sevani,5,3.9859999999999998
466,Adam Garcia,7,5.590529722865185
467,Adam Gierasch,1,6.0
468,Adam Gilbert Jespersen,1,6.0
469,Adam Gillese,1,6.283668336726776
470,Adam Gnegne,1,7.25
471,Adam Godley,9,5.914856451117366
472,Adam Goldberg,11,5.09856159642483
473,Adam Gradowski,1,6.29
474,Adam Greaves-Neal,1,6.5698204888089755
475,Adam Gregory,1,3.75
476,Adam Greydon Reid,5,4.836111437391283
477,Adam Guthrie,1,3.994337231093203
478,Adam Gutniak,1,2.0583421774947275
479,Adam Hampton,1,3.6235881129657317
480,Adam Hann-Byrd,1,6.73
481,Adam Hanuszkiewicz,1,8.44
482,Adam Harper,1,3.35461427666749
483,Adam Harrington,2,3.5
484,Adam Hartley,1,8.0
485,Adam Hendershott,2,3.0
486,Adam Herschman,3,4.463333333333334
487,Adam Hicks,2,4.449096439494907
488,Adam Horner,1,3.9945719814016183
489,Adam Horovitz,3,7.1866666666666665
490,Adam Hoya,1,3.0682273742768738
491,Adam Huber,2,3.5021699015147782
492,Adam Huel Potter,4,4.574792890292718
493,Adam Hurtig,10,5.141650831879417
494,Adam Huss,5,5.242793756447499
495,Adam Ild Rohweder,3,4.838325436895876
496,Adam J. Bernstein,1,2.0
497,Adam J. Kang,1,4.448744314032285
498,Adam J. Reeb,1,5.33
499,Adam James,3,5.5
500,Adam Janco,1,8.0
501,Adam Jezierski,2,4.937368397847203
502,Adam Johnson,4,3.6486535691668727
503,Adam Kaufman,5,5.026570387737956
504,Adam Kenneth Wilson,1,5.5
505,Adam Kern,1,6.43
506,Adam Key,1,3.5399301481541214
507,Adam Killian,1,6.25
508,Adam Korson,2,4.499514579792692
509,Adam Kotz,1,4.0
510,Adam Lamberg,1,3.33
511,Adam Lambert,1,6.468866833059201
512,Adam Lavorgna,4,4.4837029688956855
513,Adam Lawrence,1,7.024931822673303
514,Adam Lazarre-White,1,5.273783139944628
515,Adam Le Fevre,1,6.0
516,Adam LeFevre,3,4.89
517,Adam LeWinter,1,8.33
518,Adam Leese,1,4.5
519,Adam Leong,1,4.95
520,Adam Levine,3,5.98
521,Adam Levy,1,8.0
522,Adam Leys,1,7.0
523,Adam Loeffler,1,4.0
524,Adam Lolacher,1,4.73
525,Adam Long,2,5.044351009383206
