,directors_list,num_appearances,avg_critics_vote
9595,Paul Schrader,19,7.1763157894736835
12893,Zhang Yimou,19,6.913157894736842
12037,Tinto Brass,19,5.143684210526316
11466,Stanley Donen,19,7.058947368421053
8737,Michele Massimo Tarantini,19,3.15
6894,Ken Russell,19,6.974426717087237
8067,Mark Robson,19,6.284736842105263
8812,Mike Nichols,19,6.8373684210526315
6316,John Woo,19,6.976315789473685
9242,Norman Taurog,19,6.423684210526315
2856,David S. Cass sr.,18,4.506715172581521
9638,Pedro Almodóvar,18,7.076666666666666
10259,Riccardo Freda,18,5.474444444444445
4811,Guido Brignone,18,4.5744444444444445
192,Alain Resnais,18,7.06
2652,Dario Argento,18,5.926666666666667
5070,Henry Levin,18,5.739419370626509
266,Alberto De Martino,18,3.7405555555555554
10731,Ron Howard,18,6.3311111111111105
3205,Duccio Tessari,18,4.949999999999999
12256,Tsui Hark,18,6.269505501510318
159,Aki Kaurismäki,18,7.376111111111111
8992,Nanni Loy,18,6.227777777777778
6217,John Landis,18,6.34
10589,Roberto Bianchi Montero,18,3.5694444444444446
1106,Arthur Hiller,18,5.863333333333333
134,Agnés Varda,18,7.613333333333333
7041,Koji Wakamatsu,18,7.375555555555555
4339,George Sherman,18,6.13437703447681
4190,Gabriele Salvatores,18,5.791666666666667
4238,Gary Yates,18,4.5166389730365815
1641,Bruno Mattei,18,2.5694444444444446
7953,Mario Bava,18,6.102777777777778
1399,Billy Wilder,18,8.064444444444444
4018,Franco Rossi,18,5.362994615946399
12048,Tobe Hooper,18,5.407777777777778
12174,Tonino De Bernardi,18,7.472222222222222
10329,Richard Linklater,17,6.569411764705883
5936,Jesús Franco,17,5.116470588235295
8574,Michael Keusch,17,3.9071700839812604
10793,Roy Ward Baker,17,6.583529411764706
8629,Michael Powell,17,8.064117647058824
12595,Wes Craven,17,5.628823529411765
3722,Fabrizio Costa,17,4.3990472784026995
1548,Brian De Palma,17,7.265882352941176
1839,Castellano & Pipolo,17,4.209411764705883
2954,Delmer Daves,17,6.946470588235294
9480,Pasquale Squitieri,17,4.278823529411764
770,Andrew V. McLaglen,17,5.62235294117647
7066,Krzysztof Kieslowski,17,8.120588235294118
6281,John Schlesinger,17,7.156470588235294
12554,Walter Hill,17,6.982352941176471
4613,Giuliano Carnimeo,17,3.66
8477,Mervyn LeRoy,17,6.918175541659613
7545,Luchino Visconti,17,7.809411764705882
8734,Michele Lupo,17,4.640588235294118
8042,Mark Jean,17,4.3481323718831355
5068,Henry King,17,6.833556926327653
1343,Bertrand Tavernier,17,7.703529411764706
10407,Roan Johnson,17,6.3408226532723875
9679,Peter Bogdanovich,17,7.272941176470589
10429,Rob Reiner,17,6.062352941176471
9911,Pier Paolo Pasolini,17,7.36529411764706
10815,Ruggero Deodato,17,4.1494117647058815
1597,Bruce Beresford,17,6.335813056815116
3164,Doug Campbell,17,4.7052365597396815
6096,Joel Schumacher,17,5.72
5501,James Ivory,17,6.56764705882353
6086,Joel Coen,17,7.476470588235294
3956,Francesco Rosi,16,6.396875
7955,Mario Bonnard,16,5.245
363,Alessandro Capone,16,6.057533117725433
10738,Ron Oliver,16,4.183812752094647
11534,Stelvio Massi,16,4.06375
6481,Joseph L. Mankiewicz,16,7.796275621032273
5987,Jim Wynorski,16,4.155270916197303
11755,Sydney Pollack,16,7.135
786,Andrzej Wajda,16,7.5775
4090,François Ozon,16,7.0225
3942,Francesco Maselli,16,5.139375
4617,Giuliano Montaldo,16,6.426875
4619,Giulio Base,16,3.7649038827865806
5288,Ishirô Honda,16,5.8471757422239214
6146,John Carpenter,16,7.25375
8688,Michael Winterbottom,16,6.116875
4636,Giuseppe Bertolucci,16,6.11875
6153,John Cromwell,16,7.081875
10188,Registi vari,16,5.72495663256187
10693,Roger Spottiswoode,16,5.4799999999999995
11805,Takeshi Kitano,16,7.36
9440,Paolo Taviani,16,6.42625
10327,Richard Lester,16,6.723125
10545,Robert Rodriguez,16,5.73870663256187
612,Amos Gitai,16,6.481568866563034
4303,George Erschbamer,16,4.6568027427488845
12637,William Dieterle,16,6.88625
1942,Charles Walters,16,6.76875
11123,Sean McNamara,16,4.020683243341614
2728,David Cronenberg,16,7.09125
6203,John Irvin,16,5.4799191976649455
631,Anatole Litvak,16,6.824375
2210,Clarence Brown,16,7.125638967913643
8489,Michael Anderson,16,6.235
8137,Martin Ritt,16,6.716536070329646
5413,Jacques Rivette,16,6.835625
10531,Robert Mulligan,16,6.68875
4015,Franco Prosperi,15,4.173333333333334
12504,Vittorio Taviani,15,6.376666666666667
11200,Sergio Grieco,15,4.0633333333333335
9729,Peter Hyams,15,5.796237364814399
5352,Jack Arnold,15,6.959980207576985
1584,Brian Trenchard-Smith,15,4.3232634338507125
2797,David Lean,15,7.570666666666667
9579,Paul Mazursky,15,6.137869337540469
1669,Budd Boetticher,15,6.937226317367068
2805,David Lynch,15,7.1066666666666665
1814,Carmine Gallone,15,5.1706666666666665
10835,Russell Mulcahy,15,4.985512646422223
7965,Mario Costa,15,4.086
11989,Tibor Takacs,15,3.680733621149871
7153,Lasse Hallström,15,5.599333333333333
3352,Elia Kazan,15,7.401333333333333
10927,Salvatore Samperi,15,4.199333333333334
9906,Pier Francesco Pingitore,15,3.4433333333333334
11052,Satyajit Ray,15,8.222
9865,Philippe Garrel,15,7.326
6055,Joe Dante,15,6.930000000000001
5069,Henry Koster,15,6.158666666666666
2255,Claudio Fragasso,15,3.824011336155683
9445,Paolo Virzì,15,6.676
8864,Mino Guerrini,15,4.1033333333333335
1330,Bernardo Bertolucci,15,6.870666666666667
4460,Gianni Amelio,15,6.9479999999999995
3286,Eduardo De Filippo,15,5.250666666666667
7151,Lars von Trier,15,6.935333333333333
4343,George Stevens,15,7.1386666666666665
10976,Samuel Fuller,15,7.06032096316794
8686,Michael Winner,15,5.418998965990289
4340,George Sidney,15,6.988666666666666
10215,Renny Harlin,15,4.978666666666667
3485,Enrico Oldoini,15,4.3680351541113716
6903,Kenji Mizoguchi,15,8.269333333333334
792,André De Toth,15,6.2595965302824945
10746,Ronald Neame,15,6.827333333333333
4599,Giovanni Veronesi,15,4.502
11012,Sang-soo Hong,15,6.633333333333334
7867,Marco Risi,15,5.568
3280,Edouard Molinaro,14,6.543571428571428
2716,David Butler,14,6.350029097470001
9076,Nicholas Ray,14,7.287857142857143
5084,Herbert Ross,14,6.226428571428571
8490,Michael Apted,14,5.895714285714285
10393,Ricky Tognazzi,14,5.0600000000000005
4845,Gus Van Sant,14,6.623571428571429
5403,Jacques Deray,14,6.513571428571429
8993,Nanni Moretti,14,7.220714285714286
10940,Sam Irvin,14,4.556524827278296
30,Abbas Kiarostami,14,7.615046232768654
1150,Atom Egoyan,14,6.575
12205,Tony Scott,14,5.949285714285715
9814,Phil Karlson,14,6.001728076890072
4866,Guy Hamilton,14,6.065666880976859
4115,Fred Zinnemann,14,7.435714285714285
7025,Kiyoshi Kurosawa,14,7.142857142857143
12255,Tsai Ming-liang,14,7.435714285714285
6177,John G. Avildsen,14,5.635714285714286
5703,Jean Negulesco,14,6.857142857142857
7367,Liliana Cavani,14,5.091428571428572
10554,Robert Siodmak,14,6.611428571428571
5965,Jim Jarmusch,14,6.930714285714286
12503,Vittorio Sindoni,14,3.6207091125869835
8653,Michael Scott,14,4.739741755084752
1940,Charles Vidor,14,6.817142857142857
